fpr,Transformer,Charlson,Elixhauser,llama,Delpi
0.485322896,0.849515608,0.801285462,0.758693085,0.73935592,0.883100108
0.487279843,0.85123789,0.80204103,0.75953939,0.741203452,0.884391819
0.489236791,0.852314316,0.802796599,0.760385696,0.743050983,0.88482239
0.491193738,0.853175457,0.803552168,0.761232001,0.744898514,0.88525296
0.493150685,0.854682454,0.804307736,0.762078306,0.746746046,0.886544672
0.495107632,0.856404736,0.805063305,0.762924612,0.748593577,0.886759957
0.497064579,0.858772874,0.805818873,0.763770917,0.750441109,0.887621098
0.499021526,0.859634015,0.806574442,0.764617223,0.75228864,0.888482239
0.500978474,0.8598493,0.80733001,0.765463528,0.754136171,0.888912809
0.502935421,0.860710441,0.808085579,0.766309833,0.755983703,0.889989236
0.504892368,0.862217438,0.808841148,0.767156139,0.757831234,0.891280947
0.506849315,0.86393972,0.809596716,0.768002444,0.759678766,0.891711518
0.508806262,0.864800861,0.810352285,0.768848749,0.761526297,0.892357374
0.510763209,0.865016146,0.811107853,0.769695055,0.763373828,0.893003229
0.512720157,0.865761156,0.811863422,0.77054136,0.76522136,0.893649085
0.514677104,0.867168999,0.812618991,0.771387666,0.767068891,0.895586652
0.516634051,0.868675996,0.813374559,0.772233971,0.768916423,0.896663079
0.518590998,0.870398278,0.814130128,0.773080276,0.770763954,0.897308934
0.520547945,0.871905274,0.814885696,0.773926582,0.772611485,0.897739505
